"member_casual","day_of_week","hour","event_type","trip_count"
casual,3,12,start,10864
member,3,12,start,23017
casual,3,13,end,11122
member,3,13,end,22315
casual,3,13,start,11122
member,3,13,start,22231
casual,3,14,end,11612
member,3,14,end,21569
casual,3,14,start,11792
member,3,14,start,22237
casual,3,15,end,13954
member,3,15,end,30228
casual,3,15,start,14630
member,3,15,start,32517
casual,3,16,end,18655
member,3,16,end,49468
casual,3,16,start,20070
member,3,16,start,55519
casual,3,17,end,24566
member,3,17,end,67646
casual,3,17,start,25051
member,3,17,start,67133
member,3,18,end,52437
casual,3,18,end,22463
member,3,18,start,48360
casual,3,18,start,21241
member,3,19,end,34371
casual,3,19,end,16618
member,3,19,start,31420
casual,3,19,start,14861
member,3,20,end,22721
casual,3,20,end,11711
member,3,20,start,20990
casual,3,20,start,10589
member,3,21,end,17242
casual,3,21,end,9270
member,3,21,start,16413
casual,3,21,start,8854
member,3,22,end,11652
casual,3,22,end,7374
member,3,22,start,10359
casual,3,22,start,6621
member,3,23,end,6025
casual,3,23,end,4456
member,3,23,start,5320
casual,3,23,start,3824
member,4,0,end,3081
casual,4,0,end,2995
member,4,0,start,2604
casual,4,0,start,2525
member,4,1,end,1549
casual,4,1,end,1705
member,4,1,start,1416
casual,4,1,start,1524
casual,4,2,end,1080
member,4,2,end,872
casual,4,2,start,939
member,4,2,start,755
casual,4,3,end,576
member,4,3,end,630
casual,4,3,start,546
member,4,3,start,671
casual,4,4,end,651
member,4,4,end,963
casual,4,4,start,666
member,4,4,start,1065
casual,4,5,end,1459
member,4,5,end,4952
casual,4,5,start,1668
member,4,5,start,6051
casual,4,6,end,3756
member,4,6,end,15746
casual,4,6,start,4363
member,4,6,start,18515
casual,4,7,end,7756
member,4,7,end,33963
casual,4,7,start,8639
member,4,7,start,37629
casual,4,8,end,11340
member,4,8,end,48349
casual,4,8,start,11590
member,4,8,start,47730
casual,4,9,end,8158
member,4,9,end,29227
casual,4,9,start,7816
member,4,9,start,25631
member,4,10,end,18091
casual,4,10,end,6849
member,4,10,start,17640
casual,4,10,start,7615
member,4,11,end,20034
casual,4,11,end,8795
member,4,11,start,20962
casual,4,11,start,9663
member,4,12,end,24184
casual,4,12,end,10957
member,4,12,start,24331
casual,4,12,start,11340
member,4,13,end,23564
casual,4,13,end,11500
member,4,13,start,23295
casual,4,13,start,11376
member,4,14,end,23215
casual,4,14,end,11991
member,4,14,start,23962
casual,4,14,start,12469
member,4,15,end,30729
casual,4,15,end,14395
member,4,15,start,33011
casual,4,15,start,14962
member,4,16,end,49212
casual,4,16,end,19620
member,4,16,start,54529
casual,4,16,start,21135
member,4,17,end,65368
casual,4,17,end,25493
member,4,17,start,65144
casual,4,17,start,26212
casual,4,18,end,23429
member,4,18,end,51476
casual,4,18,start,22216
member,4,18,start,47538
casual,4,19,end,17931
member,4,19,end,34437
casual,4,19,start,16387
member,4,19,start,31930
casual,4,20,end,13096
member,4,20,end,24284
casual,4,20,start,12356
member,4,20,start,22726
casual,4,21,end,11095
member,4,21,end,18626
casual,4,21,start,10466
member,4,21,start,17641
casual,4,22,end,9001
member,4,22,end,12611
casual,4,22,start,7970
member,4,22,start,11307
casual,4,23,end,5530
member,4,23,end,6970
casual,4,23,start,4715
member,4,23,start,6050
casual,5,0,end,3664
member,5,0,end,3626
casual,5,0,start,3014
member,5,0,start,2881
casual,5,1,end,1755
member,5,1,end,1669
casual,5,1,start,1554
member,5,1,start,1507
member,5,2,end,891
casual,5,2,end,1178
member,5,2,start,807
casual,5,2,start,981
member,5,3,end,649
casual,5,3,end,641
member,5,3,start,649
casual,5,3,start,594
member,5,4,end,907
casual,5,4,end,630
member,5,4,start,994
casual,5,4,start,649
member,5,5,end,4544
casual,5,5,end,1528
member,5,5,start,5448
