"member_casual","month","ride_count"
casual,1,23405
casual,2,27004
casual,12,37361
casual,3,82874
casual,11,90595
casual,4,105272
casual,5,175668
casual,10,210233
casual,6,278800
casual,8,307596
casual,7,309514
casual,9,334263
member,1,112341
member,2,122109
member,12,137574
member,3,208469
member,11,238790
member,4,257932
member,5,314018
member,6,379573
member,10,394683
member,7,421917
member,8,430317
member,9,465641
