"member_casual","day_of_week","ride_count"
casual,3,217371
casual,4,229165
casual,2,238956
casual,5,253746
casual,6,309368
casual,1,323071
member,1,377571
casual,7,410908
member,7,450735
member,6,512313
member,2,514858
member,3,541625
member,4,542135
member,5,544127
